fact_id,claim_text,subject,predicate,object,suggested_claim_domain,suggested_temporal_class,suggested_source_route,priority_band,leakage_flag,duplicate_candidate_id,confidence,heuristic_reason,search_template_1,search_template_2,reviewer_final_class,reviewer_status,reviewer_id,reviewed_at,reviewer_notes
BCSGK-0065,"The Bangladesh Madrasah Education Board oversees over 9,000 madrasahs across the country.",['Madrasah Education Board'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Madrasah Education Board"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Bangladesh Madrasah Education Board oversees over 9,000 madrasahs across the country."" manual review",,unreviewed,,,
BCSGK-0067,"Bangladesh is one of the largest contributors to UN peacekeeping operations, with over 6,500 personnel deployed globally.",['Bangladesh'],STATED_AS,['United Nations'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,DUP_2a415fe466,0.45,manual claim-type review required,"""Bangladesh"" ""United Nations"" ""STATED_AS"" pre-2023 official","""Bangladesh is one of the largest contributors to UN peacekeeping operations, with over 6,500 personn"" manual review",,unreviewed,,,
BCSGK-0070,"বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।",['Bangladesh'],STATED_AS,['OIC'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh"" ""OIC"" ""STATED_AS"" pre-2023 official","""বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।"" manual review",,unreviewed,,,
BCSGK-0071,The Ganges Water Treaty between Bangladesh and India was signed in 1996 for sharing Ganges waters at Farakka.,['Ganges Water Treaty'],STATED_AS,"['Bangladesh', 'India']",ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Ganges Water Treaty"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Ganges Water Treaty between Bangladesh and India was signed in 1996 for sharing Ganges waters at"" manual review",,unreviewed,,,
BCSGK-0073,The Chittagong Hill Tracts Peace Accord was signed on 2 December 1997 between the government and the Parbatya Chattagram Jana Samhati Samiti.,['Chittagong Hill Tracts Peace Accord'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Chittagong Hill Tracts Peace Accord"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Chittagong Hill Tracts Peace Accord was signed on 2 December 1997 between the government and the"" manual review",,unreviewed,,,
BCSGK-0074,"Bangabandhu-1, Bangladesh's first geostationary communications satellite, was launched on 12 May 2018 by SpaceX.",['Bangabandhu-1'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangabandhu-1"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangabandhu-1, Bangladesh's first geostationary communications satellite, was launched on 12 May 201"" manual review",,unreviewed,,,
BCSGK-0077,বাংলাদেশে ইন্টারনেট ব্যবহারকারীর সংখ্যা ২০২৩ সালে ১৩ কোটি ছাড়িয়ে গেছে।,['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশে ইন্টারনেট ব্যবহারকারীর সংখ্যা ২০২৩ সালে ১৩ কোটি ছাড়িয়ে গেছে।"" manual review",,unreviewed,,,
BCSGK-0078,Bangladesh's submarine cable connection to the SEA-ME-WE 4 network provides international internet bandwidth since 2006.,['SEA-ME-WE 4'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""SEA-ME-WE 4"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangladesh's submarine cable connection to the SEA-ME-WE 4 network provides international internet b"" manual review",,unreviewed,,,
BCSGK-0079,"Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bangladesh.",['Maksudul Alam'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Maksudul Alam"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bangladesh."" manual review",,unreviewed,,,
BCSGK-0081,Shakib Al Hasan is the highest wicket-taker for Bangladesh in international cricket with over 700 wickets across formats.,['Shakib Al Hasan'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Shakib Al Hasan"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Shakib Al Hasan is the highest wicket-taker for Bangladesh in international cricket with over 700 wi"" manual review",,unreviewed,,,
BCSGK-0083,Kabaddi is the national sport of Bangladesh.,['Kabaddi'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Kabaddi"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Kabaddi is the national sport of Bangladesh."" manual review",,unreviewed,,,
BCSGK-0084,বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।,['Bangladesh'],STATED_AS,['India'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh"" ""India"" ""STATED_AS"" pre-2023 official","""বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।"" manual review",,unreviewed,,,
BCSGK-0085,Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic cricket tournaments.,['Dhaka Premier League'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Dhaka Premier League"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic cricket tou"" manual review",,unreviewed,,,
BCSGK-0087,"The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial operations on 28 December 2022.",['Dhaka Metro Rail'],STATED_AS,['Dhaka'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Dhaka Metro Rail"" ""Dhaka"" ""STATED_AS"" pre-2023 official","""The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial operations on 2"" manual review",,unreviewed,,,
BCSGK-0088,"Hazrat Shahjalal International Airport in Dhaka is the busiest airport in Bangladesh, handling over 8 million passengers annually.",['Hazrat Shahjalal International Airport'],STATED_AS,['Dhaka'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Hazrat Shahjalal International Airport"" ""Dhaka"" ""STATED_AS"" pre-2023 official","""Hazrat Shahjalal International Airport in Dhaka is the busiest airport in Bangladesh, handling over "" manual review",,unreviewed,,,
BCSGK-0089,"বাংলাদেশ রেলওয়ে ২,৯৫৬ কিলোমিটার রেলপথ পরিচালনা করে, যার মধ্যে ব্রড গেজ ও মিটার গেজ উভয়ই রয়েছে।",['Bangladesh Railway'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh Railway"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""বাংলাদেশ রেলওয়ে ২,৯৫৬ কিলোমিটার রেলপথ পরিচালনা করে, যার মধ্যে ব্রড গেজ ও মিটার গেজ উভয়ই রয়েছে।"" manual review",,unreviewed,,,
BCSGK-0090,"The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tunnel in South Asia, completed in 2023.",['Karnaphuli Tunnel'],STATED_AS,['Chattogram'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Karnaphuli Tunnel"" ""Chattogram"" ""STATED_AS"" pre-2023 official","""The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tunnel in Sou"" manual review",,unreviewed,,,
BCSGK-0091,"Mongla Port, located in Bagerhat district, is the second largest seaport of Bangladesh.",['Mongla Port'],located_in,['Bagerhat'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""Mongla Port"" ""Bagerhat"" ""located_in"" pre-2023 official","""Mongla Port, located in Bagerhat district, is the second largest seaport of Bangladesh."" mediawiki pre cutoff revision or official geography",,unreviewed,,,
BCSGK-0092,"Bangladesh is the 8th most populous country in the world, with a population exceeding 170 million as of 2023.",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh is the 8th most populous country in the world, with a population exceeding 170 million as"" manual review",,unreviewed,,,
BCSGK-0093,"Bangladesh has a population density of approximately 1,265 people per square kilometer, one of the highest in the world.",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh has a population density of approximately 1,265 people per square kilometer, one of the h"" manual review",,unreviewed,,,
BCSGK-0095,"Bangladesh is home to the largest refugee settlement in the world at Kutupalong, housing over 1 million Rohingya refugees from Myanmar.",['Kutupalong'],STATED_AS,"['Bangladesh', 'Myanmar']",ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Kutupalong"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangladesh is home to the largest refugee settlement in the world at Kutupalong, housing over 1 mill"" manual review",,unreviewed,,,
BCSGK-0096,বাংলাদেশের গড় আয়ু ২০২৩ সালে ৭২.৩ বছর।,['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশের গড় আয়ু ২০২৩ সালে ৭২.৩ বছর।"" manual review",,unreviewed,,,
BCSGK-0106,"The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh Navy, and the Bangladesh Air Force.",['Bangladesh Armed Forces'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh Armed Forces"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh Navy, and"" manual review",,unreviewed,,,
BCSGK-0107,"Bangladesh Armed Forces Day is observed on 21 November, commemorating the 1971 Liberation War.",['Armed Forces Day'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Armed Forces Day"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangladesh Armed Forces Day is observed on 21 November, commemorating the 1971 Liberation War."" manual review",,unreviewed,,,
BCSGK-0108,"BNS Bangabandhu is the flagship of the Bangladesh Navy, a guided missile frigate commissioned in 2001.",['BNS Bangabandhu'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""BNS Bangabandhu"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""BNS Bangabandhu is the flagship of the Bangladesh Navy, a guided missile frigate commissioned in 200"" manual review",,unreviewed,,,
BCSGK-0109,"The Bangladesh Military Academy is located in Bhatiari, Chattogram.",['Bangladesh Military Academy'],located_in,['Chattogram'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""Bangladesh Military Academy"" ""Chattogram"" ""located_in"" pre-2023 official","""The Bangladesh Military Academy is located in Bhatiari, Chattogram."" mediawiki pre cutoff revision or official geography",,unreviewed,,,
BCSGK-0110,"Bangladesh has a tropical monsoon climate, with an average annual rainfall of 2,300 mm.",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh has a tropical monsoon climate, with an average annual rainfall of 2,300 mm."" manual review",,unreviewed,,,
BCSGK-0111,"Sylhet receives the highest rainfall in Bangladesh, averaging over 4,000 mm annually.",['Sylhet'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Sylhet"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Sylhet receives the highest rainfall in Bangladesh, averaging over 4,000 mm annually."" manual review",,unreviewed,,,
BCSGK-0112,"Bangladesh is one of the most climate-vulnerable countries, with about 17% of its land area expected to be inundated by a 1-meter sea level rise.",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh is one of the most climate-vulnerable countries, with about 17% of its land area expected"" manual review",,unreviewed,,,
BCSGK-0113,Bangladesh is scheduled to graduate from Least Developed Country (LDC) status by 2026.,['Bangladesh'],STATED_AS,['United Nations'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,DUP_2a415fe466,0.45,manual claim-type review required,"""Bangladesh"" ""United Nations"" ""STATED_AS"" pre-2023 official","""Bangladesh is scheduled to graduate from Least Developed Country (LDC) status by 2026."" manual review",,unreviewed,,,
BCSGK-0114,The student-led mass uprising in July-August 2024 led to the fall of Sheikh Hasina's government.,['Sheikh Hasina'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Sheikh Hasina"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The student-led mass uprising in July-August 2024 led to the fall of Sheikh Hasina's government."" manual review",,unreviewed,,,
BCSGK-0115,"Bangladesh experienced severe floods in 2024, displacing over 5 million people across multiple districts.",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh experienced severe floods in 2024, displacing over 5 million people across multiple distr"" manual review",,unreviewed,,,
BCSGK-0116,বাংলাদেশ ২০২৪ সালে জাতিসংঘ মানবাধিকার পরিষদের সদস্য নির্বাচিত হয়।,['Bangladesh'],STATED_AS,['UN Human Rights Council'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh"" ""UN Human Rights Council"" ""STATED_AS"" pre-2023 official","""বাংলাদেশ ২০২৪ সালে জাতিসংঘ মানবাধিকার পরিষদের সদস্য নির্বাচিত হয়।"" manual review",,unreviewed,,,
BCSGK-0120,"The Padma Bridge is the longest bridge in Bangladesh, spanning 6.15 kilometers.",['Padma Bridge'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Padma Bridge"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Padma Bridge is the longest bridge in Bangladesh, spanning 6.15 kilometers."" manual review",,unreviewed,,,
BCSGK-0123,something about the rivers maybe,[],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,,0.45,claim structure is incomplete,""""" """" ""STATED_AS"" pre-2023 official","""something about the rivers maybe"" manual review",,unreviewed,,,
BCSGK-0286,"পাট, চা, চামড়ার মতো স্থানীয় কাঁচামাল-নির্ভর পণ্য রপ্তানী বহুমুখীকরণে সবচেয়ে বেশি সম্ভাবনাময়। বাংলাদেশের গবেষকরা পাটতন্তু দিয়ে সুতা তৈরির পদ্ধতি উদ্ভাবন করেছেন, যা পোশাক শিল্পের কাঁচামাল হিসেবে ব্যবহৃত হতে পারে।",['শস্য উৎপাদন ও বহুমুখীকরণ'],cultivated_in,['পাট'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""শস্য উৎপাদন ও বহুমুখীকরণ"" ""পাট"" ""cultivated_in"" pre-2023 official","""পাট, চা, চামড়ার মতো স্থানীয় কাঁচামাল-নির্ভর পণ্য রপ্তানী বহুমুখীকরণে সবচেয়ে বেশি সম্ভাবনাময়। বাং"" mediawiki pre cutoff revision or official geography",,unreviewed,,,
BCSGK-0288,"স্বাধীনতার পর থেকে বাংলাদেশের ধানের উৎপাদন তিন গুণেরও বেশি, গম দ্বিগুণ, সবজি পাঁচ গুণ এবং ভুট্টার উৎপাদন বেড়েছে ১০ গুণ।",['শস্য উৎপাদন ও বহুমুখীকরণ'],cultivated_in,['ভুট্টা'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""শস্য উৎপাদন ও বহুমুখীকরণ"" ""ভুট্টা"" ""cultivated_in"" pre-2023 official","""স্বাধীনতার পর থেকে বাংলাদেশের ধানের উৎপাদন তিন গুণেরও বেশি, গম দ্বিগুণ, সবজি পাঁচ গুণ এবং ভুট্টার উৎ"" mediawiki pre cutoff revision or official geography",,unreviewed,,,
BCSGK-0289,"১৯৬০ সালে পূর্ব পাকিস্তানে প্রথম কৃষিশুমারি অনুষ্ঠিত হয়। স্বাধীন বাংলাদেশে এ পর্যন্ত ৫টি কৃষিশুমারি অনুষ্ঠিত হয়েছে: ১৯৭৭, ১৯৮৩-৮৪, ১৯৯৬, ২০০৮ ও ২০১৯ সালে।",['শস্য উৎপাদন ও বহুমুখীকরণ'],cultivated_in,['২০১৫'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""শস্য উৎপাদন ও বহুমুখীকরণ"" ""২০১৫"" ""cultivated_in"" pre-2023 official","""১৯৬০ সালে পূর্ব পাকিস্তানে প্রথম কৃষিশুমারি অনুষ্ঠিত হয়। স্বাধীন বাংলাদেশে এ পর্যন্ত ৫টি কৃষিশুমারি"" mediawiki pre cutoff revision or official geography",,unreviewed,,,
BCSGK-0290,"কৃষি পরিসংখ্যান বর্ষগ্রন্থ, ২০২৪ অনুযায়ী, বাংলাদেশে সবচেয়ে বেশি পাট উৎপন্ন হয় ফরিদপুর জেলায়।",['শস্য উৎপাদন ও বহুমুখীকরণ'],cultivated_in,['ফরিদপুর'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""শস্য উৎপাদন ও বহুমুখীকরণ"" ""ফরিদপুর"" ""cultivated_in"" pre-2023 official","""কৃষি পরিসংখ্যান বর্ষগ্রন্থ, ২০২৪ অনুযায়ী, বাংলাদেশে সবচেয়ে বেশি পাট উৎপন্ন হয় ফরিদপুর জেলায়।"" mediawiki pre cutoff revision or official geography",,unreviewed,,,
BCSGK-0292,বাংলাদেশের অর্থনৈতিক সেক্টরগুলোর মধ্যে কৃষি খাতে সবচেয়ে বেশি কর্মসংস্থান হয়।,['শস্য উৎপাদন ও বহুমুখীকরণ'],cultivated_in,['কৃষি খাত'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""শস্য উৎপাদন ও বহুমুখীকরণ"" ""কৃষি খাত"" ""cultivated_in"" pre-2023 official","""বাংলাদেশের অর্থনৈতিক সেক্টরগুলোর মধ্যে কৃষি খাতে সবচেয়ে বেশি কর্মসংস্থান হয়।"" mediawiki pre cutoff revision or official geography",,unreviewed,,,
BCSGK-0294,বাংলাদেশের উৎপাদিত কৃষিপণ্যের মধ্যে ধানের পরিমাণ সবচেয়ে বেশি এবং উৎপাদিত ধান নিজেদের খাদ্যের চাহিদা মেটানোর জন্য ব্যবহৃত হয়। তাই বাংলাদেশের কৃষি ধান-প্রধান নিবিড় স্বয়ংভোগী।,['শস্য উৎপাদন ও বহুমুখীকরণ'],cultivated_in,['ধান-প্রধান নিবিড় স্বয়ংভোগী'],static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,P1,not_yet_checked,,0.82,geographic claim can use a pre-cutoff snapshot,"""শস্য উৎপাদন ও বহুমুখীকরণ"" ""ধান-প্রধান নিবিড় স্বয়ংভোগী"" ""cultivated_in"" pre-2023 official","""বাংলাদেশের উৎপাদিত কৃষিপণ্যের মধ্যে ধানের পরিমাণ সবচেয়ে বেশি এবং উৎপাদিত ধান নিজেদের খাদ্যের চাহিদা"" mediawiki pre cutoff revision or official geography",,unreviewed,,,
