pilot_id,fact_id,claim_text,final_routing_class,temporal_class,source_route,allowed_source_types,required_temporal_fields,source_query_template_1,source_query_template_2,intake_status,evidence_verified,model_b_merge_allowed
M3A-PILOT-017,BCSGK-0294,বাংলাদেশের উৎপাদিত কৃষিপণ্যের মধ্যে ধানের পরিমাণ সবচেয়ে বেশি এবং উৎপাদিত ধান নিজেদের খাদ্যের চাহিদা মেটানোর জন্য ব্যবহৃত হয়। তাই বাংলাদেশের কৃষি ধান-প্রধান নিবিড় স্বয়ংভোগী।,static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশের উৎপাদিত কৃষিপণ্যের মধ্যে ধানের পরিমাণ সবচেয়ে বেশি এবং উৎপাদিত ধান নিজেদের খাদ্যের চাহিদা মেটানোর জন্য ব্যবহৃত হয়। তাই বাংলাদেশে"" pre-cutoff mediawiki pre cutoff revision or official history","""বাংলাদেশের উৎপাদিত কৃষিপণ্যের মধ্যে ধানের পরিমাণ সবচেয়ে বেশি এবং উৎপাদিত ধান নিজেদের খাদ্"" official source 2023-04-19",not_started,false,false
M3A-PILOT-018,BCSGK-0295,"বাংলাদেশের উচ্চফলনশীল (উফশী) জাতের কয়েকটি ধানের নাম: হীরা, ময়না, সোনার বাংলা, ইরি, ইরাটম, বিশাইল, মালাইরি, বাংলামতি ইত্যাদি। উচ্চফলনশীল কয়েকটি গমের নাম: বলাকা, দোয়েল শতাব্দী, আনন্দ ইত্যাদি।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশের উচ্চফলনশীল (উফশী) জাতের কয়েকটি ধানের নাম: হীরা, ময়না, সোনার বাংলা, ইরি, ইরাটম, বিশাইল, মালাইরি, বাংলামতি ইত্যাদি। উচ্চফলনশীল কয"" pre-cutoff mediawiki pre cutoff revision or official history","""বাংলাদেশের উচ্চফলনশীল (উফশী) জাতের কয়েকটি ধানের নাম: হীরা, ময়না, সোনার বাংলা, ইরি, ইরাটম"" official source 2023-04-19",not_started,false,false
M3A-PILOT-019,BCSGK-0296,"বাংলামতি, হীরা, ময়না, হরি, সোনার বাংলা, ইরাটম, বিশাইল, চাঁদিনাম, মালা, সুপার রাইস, মুক্তা, প্রগতি, আশা, বিপ্লব, দুলাভোগ, আলোক-৬২১০, নারিকা-১, সোনার বাংলা-১, মালাইরি ইত্যাদি উন্নত জাতের ধানের নাম।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলামতি, হীরা, ময়না, হরি, সোনার বাংলা, ইরাটম, বিশাইল, চাঁদিনাম, মালা, সুপার রাইস, মুক্তা, প্রগতি, আশা, বিপ্লব, দুলাভোগ, আলোক-৬২১০, নারিকা-"" pre-cutoff mediawiki pre cutoff revision or official history","""বাংলামতি, হীরা, ময়না, হরি, সোনার বাংলা, ইরাটম, বিশাইল, চাঁদিনাম, মালা, সুপার রাইস, মুক্তা"" official source 2023-04-19",not_started,false,false
M3A-PILOT-020,BCSGK-0297,"বলাকা, দোয়েল, শতাব্দী, অগ্রণী, সোনালিকা, আনন্দ, আকবর, কাঞ্চন, বরকত, জোপাটিকা, ইনিয়া-৬৬, বিজয় ইত্যাদি গমের উন্নত জাত।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বলাকা, দোয়েল, শতাব্দী, অগ্রণী, সোনালিকা, আনন্দ, আকবর, কাঞ্চন, বরকত, জোপাটিকা, ইনিয়া-৬৬, বিজয় ইত্যাদি গমের উন্নত জাত।"" pre-cutoff mediawiki pre cutoff revision or official history","""বলাকা, দোয়েল, শতাব্দী, অগ্রণী, সোনালিকা, আনন্দ, আকবর, কাঞ্চন, বরকত, জোপাটিকা, ইনিয়া-৬৬, "" official source 2023-04-19",not_started,false,false
M3A-PILOT-021,BCSGK-0298,"'ম্যানিলা' ও 'সুমাত্রা' তামাক এর উন্নতজাতের নাম। পদ্মা, মধুবালা তরমুজের উন্নত জাত। রূপালী, ডেলফাজ তুলার উন্নত জাত।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""'ম্যানিলা' ও 'সুমাত্রা' তামাক এর উন্নতজাতের নাম। পদ্মা, মধুবালা তরমুজের উন্নত জাত। রূপালী, ডেলফাজ তুলার উন্নত জাত।"" pre-cutoff mediawiki pre cutoff revision or official history","""'ম্যানিলা' ও 'সুমাত্রা' তামাক এর উন্নতজাতের নাম। পদ্মা, মধুবালা তরমুজের উন্নত জাত। রূপালী,"" official source 2023-04-19",not_started,false,false
M3A-PILOT-022,BCSGK-0299,"কৃষি মৌসুম: রবি (কার্তিক-ফাল্গুন), খরিপ-১ (চৈত্র-জ্যৈষ্ঠ), খরিপ-২ (আষাঢ়-ভাদ্র), বারেমাসি (সারা বছর)।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""কৃষি মৌসুম: রবি (কার্তিক-ফাল্গুন), খরিপ-১ (চৈত্র-জ্যৈষ্ঠ), খরিপ-২ (আষাঢ়-ভাদ্র), বারেমাসি (সারা বছর)।"" pre-cutoff mediawiki pre cutoff revision or official history","""কৃষি মৌসুম: রবি (কার্তিক-ফাল্গুন), খরিপ-১ (চৈত্র-জ্যৈষ্ঠ), খরিপ-২ (আষাঢ়-ভাদ্র), বারেমাসি "" official source 2023-04-19",not_started,false,false
M3A-PILOT-023,BCSGK-0300,"ডায়মন্ড, কার্ডিনেল, কুফরি, সিন্দুরী, মিউজিকা, নেপিতাল, অ্যালুয়েট, ক্যারোলাস (ছরাক সহিষ্ণু), গ্রানুলা ইত্যাদি আলুর উন্নত জাতের নাম।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""ডায়মন্ড, কার্ডিনেল, কুফরি, সিন্দুরী, মিউজিকা, নেপিতাল, অ্যালুয়েট, ক্যারোলাস (ছরাক সহিষ্ণু), গ্রানুলা ইত্যাদি আলুর উন্নত জাতের নাম।"" pre-cutoff mediawiki pre cutoff revision or official history","""ডায়মন্ড, কার্ডিনেল, কুফরি, সিন্দুরী, মিউজিকা, নেপিতাল, অ্যালুয়েট, ক্যারোলাস (ছরাক সহিষ্ণ"" official source 2023-04-19",not_started,false,false
M3A-PILOT-024,BCSGK-0302,"বর্ণালী, শুভ্র, উত্তরণ, মোহর, সুইটকর্ন ইত্যাদি উন্নত জাতের ভুট্টার নাম।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বর্ণালী, শুভ্র, উত্তরণ, মোহর, সুইটকর্ন ইত্যাদি উন্নত জাতের ভুট্টার নাম।"" pre-cutoff mediawiki pre cutoff revision or official history","""বর্ণালী, শুভ্র, উত্তরণ, মোহর, সুইটকর্ন ইত্যাদি উন্নত জাতের ভুট্টার নাম।"" official source 2023-04-19",not_started,false,false
M3A-PILOT-025,BCSGK-0083,Kabaddi is the national sport of Bangladesh.,static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""Kabaddi is the national sport of Bangladesh."" pre-cutoff mediawiki pre cutoff revision or official geography","""Kabaddi is the national sport of Bangladesh."" official source 2023-04-19",not_started,false,false
M3A-PILOT-026,BCSGK-0090,"The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tunnel in South Asia, completed in 2023.",static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tunnel in South Asia, completed in 2023."" pre-cutoff mediawiki pre cutoff revision or official geography","""The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tun"" official source 2023-04-19",not_started,false,false
M3A-PILOT-027,BCSGK-0109,"The Bangladesh Military Academy is located in Bhatiari, Chattogram.",static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""The Bangladesh Military Academy is located in Bhatiari, Chattogram."" pre-cutoff mediawiki pre cutoff revision or official geography","""The Bangladesh Military Academy is located in Bhatiari, Chattogram."" official source 2023-04-19",not_started,false,false
M3A-PILOT-028,BCSGK-0120,"The Padma Bridge is the longest bridge in Bangladesh, spanning 6.15 kilometers.",static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""The Padma Bridge is the longest bridge in Bangladesh, spanning 6.15 kilometers."" pre-cutoff mediawiki pre cutoff revision or official geography","""The Padma Bridge is the longest bridge in Bangladesh, spanning 6.15 kilometers."" official source 2023-04-19",not_started,false,false
M3A-PILOT-029,BCSGK-0290,"কৃষি পরিসংখ্যান বর্ষগ্রন্থ, ২০২৪ অনুযায়ী, বাংলাদেশে সবচেয়ে বেশি পাট উৎপন্ন হয় ফরিদপুর জেলায়।",static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""কৃষি পরিসংখ্যান বর্ষগ্রন্থ, ২০২৪ অনুযায়ী, বাংলাদেশে সবচেয়ে বেশি পাট উৎপন্ন হয় ফরিদপুর জেলায়।"" pre-cutoff mediawiki pre cutoff revision or official geography","""কৃষি পরিসংখ্যান বর্ষগ্রন্থ, ২০২৪ অনুযায়ী, বাংলাদেশে সবচেয়ে বেশি পাট উৎপন্ন হয় ফরিদপুর জ"" official source 2023-04-19",not_started,false,false
M3A-PILOT-030,BCSGK-0309,"বাংলাদেশ চা বোর্ড কর্তৃক নিবন্ধিত চা বাগানের সংখ্যা ১৭৩টি। এদের মধ্যে সর্বাধিক ৯০টি চা বাগান রয়েছে মৌলভীবাজার জেলায়। দ্বিতীয় সর্বাধিক ২৫টি চা বাগান রয়েছে হবিগঞ্জ জেলায়, চট্টগ্রাম জেলায় ২২টি এবং পঞ্চগড় জেলায় ১১টি চা বাগান রয়েছে।",static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশ চা বোর্ড কর্তৃক নিবন্ধিত চা বাগানের সংখ্যা ১৭৩টি। এদের মধ্যে সর্বাধিক ৯০টি চা বাগান রয়েছে মৌলভীবাজার জেলায়। দ্বিতীয় সর্বাধিক ২৫ট"" pre-cutoff mediawiki pre cutoff revision or official geography","""বাংলাদেশ চা বোর্ড কর্তৃক নিবন্ধিত চা বাগানের সংখ্যা ১৭৩টি। এদের মধ্যে সর্বাধিক ৯০টি চা বাগ"" official source 2023-04-19",not_started,false,false
M3A-PILOT-031,BCSGK-0315,'জুম' চাষ পদ্ধতি চট্টগ্রাম ও পার্বত্য চট্টগ্রামের জেলাসমূহে দেখা যায়।,static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""'জুম' চাষ পদ্ধতি চট্টগ্রাম ও পার্বত্য চট্টগ্রামের জেলাসমূহে দেখা যায়।"" pre-cutoff mediawiki pre cutoff revision or official geography","""'জুম' চাষ পদ্ধতি চট্টগ্রাম ও পার্বত্য চট্টগ্রামের জেলাসমূহে দেখা যায়।"" official source 2023-04-19",not_started,false,false
M3A-PILOT-032,BCSGK-0333,বাংলাদেশে গো-চারণের জন্য বাথান রয়েছে দুটি জেলায়। যথা-পাবনা ও সিরাজগঞ্জ।,static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশে গো-চারণের জন্য বাথান রয়েছে দুটি জেলায়। যথা-পাবনা ও সিরাজগঞ্জ।"" pre-cutoff mediawiki pre cutoff revision or official geography","""বাংলাদেশে গো-চারণের জন্য বাথান রয়েছে দুটি জেলায়। যথা-পাবনা ও সিরাজগঞ্জ।"" official source 2023-04-19",not_started,false,false
M3A-PILOT-033,BCSGK-0336,"বাংলাদেশের কেন্দ্রীয় গো-প্রজনন খামার সাভার, ঢাকায় অবস্থিত। এছাড়া কেন্দ্রীয় মুরগি প্রজনন খামার মিরপুর, ঢাকায়; হাঁস প্রজনন খামার নারায়ণগঞ্জে; মহিষ প্রজনন ও উন্নয়ন খামার বাগেরহাটে এবং বেসরকারি কুমির প্রজনন কেন্দ্র ভালুকা, ময়মনসিংহে অবস্থিত।",static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশের কেন্দ্রীয় গো-প্রজনন খামার সাভার, ঢাকায় অবস্থিত। এছাড়া কেন্দ্রীয় মুরগি প্রজনন খামার মিরপুর, ঢাকায়; হাঁস প্রজনন খামার নারায়ণগ"" pre-cutoff mediawiki pre cutoff revision or official geography","""বাংলাদেশের কেন্দ্রীয় গো-প্রজনন খামার সাভার, ঢাকায় অবস্থিত। এছাড়া কেন্দ্রীয় মুরগি প্রজন"" official source 2023-04-19",not_started,false,false
M3A-PILOT-034,BCSGK-0359,"গারো উপজাতিদের আবাসস্থল মূলত ময়মনসিংহ, শেরপুর, নেত্রকোণা, টাঙ্গাইল, জামালপুর, সুনামগঞ্জ ও সিলেট। বিরিশিরি নেত্রকোণা জেলার দুর্গাপুর উপজেলার ঐতিহ্যবাহী একটি গ্রাম।",static_geographic,static,mediawiki_pre_cutoff_revision_or_official_geography,mediawiki_revision;official_geographic_record;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""গারো উপজাতিদের আবাসস্থল মূলত ময়মনসিংহ, শেরপুর, নেত্রকোণা, টাঙ্গাইল, জামালপুর, সুনামগঞ্জ ও সিলেট। বিরিশিরি নেত্রকোণা জেলার দুর্গাপুর উপজেলার"" pre-cutoff mediawiki pre cutoff revision or official geography","""গারো উপজাতিদের আবাসস্থল মূলত ময়মনসিংহ, শেরপুর, নেত্রকোণা, টাঙ্গাইল, জামালপুর, সুনামগঞ্জ ও"" official source 2023-04-19",not_started,false,false
M3A-PILOT-035,BCSGK-0033,"The official currency of Bangladesh is the Bangladeshi Taka (BDT), managed by Bangladesh Bank.",static_institutional,static,official_institutional_history,official_history;annual_report;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""The official currency of Bangladesh is the Bangladeshi Taka (BDT), managed by Bangladesh Bank."" pre-cutoff official institutional history","""The official currency of Bangladesh is the Bangladeshi Taka (BDT), managed by Bangladesh B"" official source 2023-04-19",not_started,false,false
M3A-PILOT-036,BCSGK-0028,Abdus Salam served as Bangladesh's first Foreign Secretary from 1971 to 1972.,dynamic_officeholder,dynamic,official_appointment_or_gazette,official_gazette_pdf;appointment_notice;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""Abdus Salam served as Bangladesh's first Foreign Secretary from 1971 to 1972."" pre-cutoff official appointment or gazette","""Abdus Salam served as Bangladesh's first Foreign Secretary from 1971 to 1972."" official source 2023-04-19",not_started,false,false
M3A-PILOT-037,BCSGK-0061,বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নিয়োগের জন্য।,dynamic_officeholder,dynamic,official_appointment_or_gazette,official_gazette_pdf;appointment_notice;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নিয়োগের জন্য।"" pre-cutoff official appointment or gazette","""বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নি"" official source 2023-04-19",not_started,false,false
