claim_text,confidence,duplicate_candidate_id,fact_id,heuristic_reason,leakage_flag,object,predicate,priority_band,reviewed_at,reviewer_final_class,reviewer_id,reviewer_notes,reviewer_status,search_template_1,search_template_2,subject,suggested_claim_domain,suggested_source_route,suggested_temporal_class,final_temporal_class,final_claim_domain,final_source_route,final_priority_band,final_leakage_risk,next_action
Bangladesh achieved lower-middle income country status in 2015 according to World Bank classification.,0.45,,BCSGK-0039,manual claim-type review required,not_yet_checked,['World Bank'],STATED_AS,P4,2026-09-16,dynamic_statistical,RA_1,"numeric, ranking, rate, or economic claim requires reference-period evidence",approved,"""Bangladesh"" ""World Bank"" ""STATED_AS"" pre-2023 official","""Bangladesh achieved lower-middle income country status in 2015 according to World Bank classificatio"" manual review",['Bangladesh'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_statistical,bbs_or_official_statistical_report,P2,pass,find_reference_period_and_pre_cutoff_report
Bangladesh has a literacy rate of approximately 74.66% as of the 2022 census.,0.45,DUP_0f7aa2c2f4,BCSGK-0059,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh has a literacy rate of approximately 74.66% as of the 2022 census."" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নিয়োগের জন্য।,0.45,,BCSGK-0061,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,dynamic_officeholder,RA_1,office-holder or appointment claim requires valid_from/valid_to evidence,approved,"""Bangladesh Public Service Commission"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নিয়োগের জন্য"" manual review",['Bangladesh Public Service Commission'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_officeholder,official_appointment_or_gazette,P2,pass,find_cutoff_covering_term_interval
The primary education completion rate in Bangladesh reached 98% by 2023.,0.45,DUP_0f7aa2c2f4,BCSGK-0064,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""The primary education completion rate in Bangladesh reached 98% by 2023."" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
"The Bangladesh Madrasah Education Board oversees over 9,000 madrasahs across the country.",0.45,,BCSGK-0065,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Madrasah Education Board"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Bangladesh Madrasah Education Board oversees over 9,000 madrasahs across the country."" manual review",['Madrasah Education Board'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"Bangladesh is one of the largest contributors to UN peacekeeping operations, with over 6,500 personnel deployed globally.",0.45,DUP_2a415fe466,BCSGK-0067,manual claim-type review required,not_yet_checked,['United Nations'],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" ""United Nations"" ""STATED_AS"" pre-2023 official","""Bangladesh is one of the largest contributors to UN peacekeeping operations, with over 6,500 personn"" manual review",['Bangladesh'],ambiguous,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
"বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।",0.45,,BCSGK-0070,manual claim-type review required,not_yet_checked,['OIC'],STATED_AS,P4,2026-09-16,dynamic_award_or_membership,RA_1,"membership, award, or recognition claim needs dated official evidence",approved,"""Bangladesh"" ""OIC"" ""STATED_AS"" pre-2023 official","""বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।"" manual review",['Bangladesh'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_award_or_membership,official_award_or_membership_record,P3,pass,find_accession_award_or_recognition_date
The Ganges Water Treaty between Bangladesh and India was signed in 1996 for sharing Ganges waters at Farakka.,0.45,,BCSGK-0071,manual claim-type review required,not_yet_checked,"['Bangladesh', 'India']",STATED_AS,P4,2026-09-16,dynamic_policy_legal,RA_1,"legal, policy, treaty, or regulatory claim needs dated admissible evidence",approved,"""Ganges Water Treaty"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Ganges Water Treaty between Bangladesh and India was signed in 1996 for sharing Ganges waters at"" manual review",['Ganges Water Treaty'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_policy_legal,legal_or_policy_document,P2,pass,find_effective_date_or_gazette
The Chittagong Hill Tracts Peace Accord was signed on 2 December 1997 between the government and the Parbatya Chattagram Jana Samhati Samiti.,0.45,,BCSGK-0073,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,dynamic_policy_legal,RA_1,"legal, policy, treaty, or regulatory claim needs dated admissible evidence",approved,"""Chittagong Hill Tracts Peace Accord"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Chittagong Hill Tracts Peace Accord was signed on 2 December 1997 between the government and the"" manual review",['Chittagong Hill Tracts Peace Accord'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_policy_legal,legal_or_policy_document,P2,pass,find_effective_date_or_gazette
"Bangabandhu-1, Bangladesh's first geostationary communications satellite, was launched on 12 May 2018 by SpaceX.",0.45,,BCSGK-0074,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Bangabandhu-1"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangabandhu-1, Bangladesh's first geostationary communications satellite, was launched on 12 May 201"" manual review",['Bangabandhu-1'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
বাংলাদেশে ইন্টারনেট ব্যবহারকারীর সংখ্যা ২০২৩ সালে ১৩ কোটি ছাড়িয়ে গেছে।,0.45,DUP_0f7aa2c2f4,BCSGK-0077,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশে ইন্টারনেট ব্যবহারকারীর সংখ্যা ২০২৩ সালে ১৩ কোটি ছাড়িয়ে গেছে।"" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
Bangladesh's submarine cable connection to the SEA-ME-WE 4 network provides international internet bandwidth since 2006.,0.45,,BCSGK-0078,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""SEA-ME-WE 4"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangladesh's submarine cable connection to the SEA-ME-WE 4 network provides international internet b"" manual review",['SEA-ME-WE 4'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bangladesh.",0.45,,BCSGK-0079,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Maksudul Alam"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bangladesh."" manual review",['Maksudul Alam'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
Shakib Al Hasan is the highest wicket-taker for Bangladesh in international cricket with over 700 wickets across formats.,0.45,,BCSGK-0081,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Shakib Al Hasan"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Shakib Al Hasan is the highest wicket-taker for Bangladesh in international cricket with over 700 wi"" manual review",['Shakib Al Hasan'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
Kabaddi is the national sport of Bangladesh.,0.45,,BCSGK-0083,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_geographic,RA_1,geographic claim can be routed to pre-cutoff snapshot evidence,approved,"""Kabaddi"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Kabaddi is the national sport of Bangladesh."" manual review",['Kabaddi'],ambiguous,manual_review,needs_clarification,static,static_geographic,mediawiki_pre_cutoff_revision_or_official_geography,P1,pass,find_pre_cutoff_claim_supporting_snapshot
বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।,0.45,,BCSGK-0084,manual claim-type review required,not_yet_checked,['India'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Bangladesh"" ""India"" ""STATED_AS"" pre-2023 official","""বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।"" manual review",['Bangladesh'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic cricket tournaments.,0.45,,BCSGK-0085,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Dhaka Premier League"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic cricket tou"" manual review",['Dhaka Premier League'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial operations on 28 December 2022.",0.45,,BCSGK-0087,manual claim-type review required,not_yet_checked,['Dhaka'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Dhaka Metro Rail"" ""Dhaka"" ""STATED_AS"" pre-2023 official","""The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial operations on 2"" manual review",['Dhaka Metro Rail'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"Hazrat Shahjalal International Airport in Dhaka is the busiest airport in Bangladesh, handling over 8 million passengers annually.",0.45,,BCSGK-0088,manual claim-type review required,not_yet_checked,['Dhaka'],STATED_AS,P4,2026-09-16,dynamic_statistical,RA_1,"numeric, ranking, rate, or economic claim requires reference-period evidence",approved,"""Hazrat Shahjalal International Airport"" ""Dhaka"" ""STATED_AS"" pre-2023 official","""Hazrat Shahjalal International Airport in Dhaka is the busiest airport in Bangladesh, handling over "" manual review",['Hazrat Shahjalal International Airport'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_statistical,bbs_or_official_statistical_report,P2,pass,find_reference_period_and_pre_cutoff_report
"বাংলাদেশ রেলওয়ে ২,৯৫৬ কিলোমিটার রেলপথ পরিচালনা করে, যার মধ্যে ব্রড গেজ ও মিটার গেজ উভয়ই রয়েছে।",0.45,,BCSGK-0089,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Bangladesh Railway"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""বাংলাদেশ রেলওয়ে ২,৯৫৬ কিলোমিটার রেলপথ পরিচালনা করে, যার মধ্যে ব্রড গেজ ও মিটার গেজ উভয়ই রয়েছে।"" manual review",['Bangladesh Railway'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tunnel in South Asia, completed in 2023.",0.45,,BCSGK-0090,manual claim-type review required,not_yet_checked,['Chattogram'],STATED_AS,P4,2026-09-16,static_geographic,RA_1,geographic claim can be routed to pre-cutoff snapshot evidence,approved,"""Karnaphuli Tunnel"" ""Chattogram"" ""STATED_AS"" pre-2023 official","""The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tunnel in Sou"" manual review",['Karnaphuli Tunnel'],ambiguous,manual_review,needs_clarification,static,static_geographic,mediawiki_pre_cutoff_revision_or_official_geography,P1,pass,find_pre_cutoff_claim_supporting_snapshot
"Mongla Port, located in Bagerhat district, is the second largest seaport of Bangladesh.",0.82,,BCSGK-0091,geographic claim can use a pre-cutoff snapshot,not_yet_checked,['Bagerhat'],located_in,P1,2026-09-16,dynamic_statistical,RA_1,"numeric, ranking, rate, or economic claim requires reference-period evidence",approved,"""Mongla Port"" ""Bagerhat"" ""located_in"" pre-2023 official","""Mongla Port, located in Bagerhat district, is the second largest seaport of Bangladesh."" mediawiki pre cutoff revision or official geography",['Mongla Port'],static_geographic,mediawiki_pre_cutoff_revision_or_official_geography,static,dynamic,dynamic_statistical,bbs_or_official_statistical_report,P2,pass,find_reference_period_and_pre_cutoff_report
"Bangladesh is the 8th most populous country in the world, with a population exceeding 170 million as of 2023.",0.45,DUP_0f7aa2c2f4,BCSGK-0092,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh is the 8th most populous country in the world, with a population exceeding 170 million as"" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
"Bangladesh has a population density of approximately 1,265 people per square kilometer, one of the highest in the world.",0.45,DUP_0f7aa2c2f4,BCSGK-0093,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh has a population density of approximately 1,265 people per square kilometer, one of the h"" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
"Bangladesh is home to the largest refugee settlement in the world at Kutupalong, housing over 1 million Rohingya refugees from Myanmar.",0.45,,BCSGK-0095,manual claim-type review required,not_yet_checked,"['Bangladesh', 'Myanmar']",STATED_AS,P4,2026-09-16,dynamic_statistical,RA_1,"numeric, ranking, rate, or economic claim requires reference-period evidence",approved,"""Kutupalong"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangladesh is home to the largest refugee settlement in the world at Kutupalong, housing over 1 mill"" manual review",['Kutupalong'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_statistical,bbs_or_official_statistical_report,P2,pass,find_reference_period_and_pre_cutoff_report
বাংলাদেশের গড় আয়ু ২০২৩ সালে ৭২.৩ বছর।,0.45,DUP_0f7aa2c2f4,BCSGK-0096,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশের গড় আয়ু ২০২৩ সালে ৭২.৩ বছর।"" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
"The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh Navy, and the Bangladesh Air Force.",0.45,,BCSGK-0106,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Bangladesh Armed Forces"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh Navy, and"" manual review",['Bangladesh Armed Forces'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"Bangladesh Armed Forces Day is observed on 21 November, commemorating the 1971 Liberation War.",0.45,,BCSGK-0107,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""Armed Forces Day"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Bangladesh Armed Forces Day is observed on 21 November, commemorating the 1971 Liberation War."" manual review",['Armed Forces Day'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"BNS Bangabandhu is the flagship of the Bangladesh Navy, a guided missile frigate commissioned in 2001.",0.45,,BCSGK-0108,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,static_historical,RA_1,historical/event claim routed to pre-cutoff evidence review,approved,"""BNS Bangabandhu"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""BNS Bangabandhu is the flagship of the Bangladesh Navy, a guided missile frigate commissioned in 200"" manual review",['BNS Bangabandhu'],ambiguous,manual_review,needs_clarification,static,static_historical,mediawiki_pre_cutoff_revision_or_official_history,P2,pass,find_pre_cutoff_claim_supporting_snapshot
"The Bangladesh Military Academy is located in Bhatiari, Chattogram.",0.82,,BCSGK-0109,geographic claim can use a pre-cutoff snapshot,not_yet_checked,['Chattogram'],located_in,P1,2026-09-16,static_geographic,RA_1,geographic claim can be routed to pre-cutoff snapshot evidence,approved,"""Bangladesh Military Academy"" ""Chattogram"" ""located_in"" pre-2023 official","""The Bangladesh Military Academy is located in Bhatiari, Chattogram."" mediawiki pre cutoff revision or official geography",['Bangladesh Military Academy'],static_geographic,mediawiki_pre_cutoff_revision_or_official_geography,static,static,static_geographic,mediawiki_pre_cutoff_revision_or_official_geography,P1,pass,find_pre_cutoff_claim_supporting_snapshot
"Bangladesh has a tropical monsoon climate, with an average annual rainfall of 2,300 mm.",0.45,DUP_0f7aa2c2f4,BCSGK-0110,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh has a tropical monsoon climate, with an average annual rainfall of 2,300 mm."" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
"Sylhet receives the highest rainfall in Bangladesh, averaging over 4,000 mm annually.",0.45,,BCSGK-0111,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,dynamic_statistical,RA_1,"numeric, ranking, rate, or economic claim requires reference-period evidence",approved,"""Sylhet"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Sylhet receives the highest rainfall in Bangladesh, averaging over 4,000 mm annually."" manual review",['Sylhet'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_statistical,bbs_or_official_statistical_report,P2,pass,find_reference_period_and_pre_cutoff_report
